prompt,intent
"I 'd like to make urgently a reservation for a movie , please .",booking_start
"I 'd like to make reservation for a movie , please .",booking_start
"I 'd like to make a mental_reservation for a pic , delight .",booking_start
"I 'd leki to make a reservation for a movie , please .",booking_start
"quickly I 'd like to make a reservation for a movie , please .",booking_start
"I like to make a reservation for a movie , please .",booking_start
"I 'd like to make a mental_reservation for a pic , delight .",booking_start
"I 'd lkie to make a reservation for a mivoe , please .",booking_start
"I 'd like to make a hassle-free reservation for a movie , please .",booking_start
"I 'd like to make a reservation for a , please .",booking_start
"I 'd like to make a mental_reservation for a pic , delight .",booking_start
"I 'd like ot eakm a reservation for a movie , please .",booking_start
Can you guide me on how to make a hassle-free booking for a movie ?,booking_start
Can you guide me on to make a booking for a movie ?,booking_start
Can you guide me on how to make a reservation for a pic ?,booking_start
Can you gdiue me on how to make a bgokino for a movie ?,booking_start
really Can you guide me on how to make a booking for a movie ?,booking_start
Can you guide me how to make a booking for a movie ?,booking_start
Can you guide me on how to make a reservation for a pic ?,booking_start
naC you guide em on how to make a booking for a movie ?,booking_start
Can you guide me on how to make a booking for a movie urgently ?,booking_start
Can you guide me on how to a booking for a movie ?,booking_start
Can you guide me on how to make a reservation for a pic ?,booking_start
Can you guide me on how to make a booking ofr a movie ?,booking_start
How can I enthusiastically secure tickets for the upcoming movie ?,booking_start
How can I secure tickets the upcoming movie ?,booking_start
How can I secure slate for the upcoming pic ?,booking_start
How nac I secure tickets rof the upcoming movie ?,booking_start
How can I secure hassle-free tickets for the upcoming movie ?,booking_start
How can I secure tickets for the upcoming movie,booking_start
How can I secure slate for the upcoming pic ?,booking_start
How can I cesure tickets ofr the upcoming movie ?,booking_start
How can I secure enthusiastically tickets for the upcoming movie ?,booking_start
How can I secure tickets for the movie ?,booking_start
How can I secure slate for the upcoming pic ?,booking_start
Hwo can I secure tickets for the upcoming movie ?,booking_start
I want to go enthusiastically to the cinema .,booking_start
I want to to the cinema .,booking_start
I want to go to the movie_house .,booking_start
I awnt to go to the cinema .,booking_start
I want to urgently go to the cinema .,booking_start
I want to go to the cinema,booking_start
I want to go to the movie_house .,booking_start
I wtna to go to the cinema .,booking_start
I want hassle-free to go to the cinema .,booking_start
I want go to the cinema .,booking_start
I want to go to the movie_house .,booking_start
I want ot go to teh cinema .,booking_start
Soul,give_movie_name
Moana,give_movie_name
Gisaengchung,give_movie_name
Joker,give_movie_name
Avengers: Endgame,give_movie_name
Get Out,give_movie_name
Ford v Ferrari,give_movie_name
Knives Out,give_movie_name
The Irishman,give_movie_name
The Gentlemen,give_movie_name
Little Women,give_movie_name
Toy Story 4,give_movie_name
Baby Driver,give_movie_name
Arrival,give_movie_name
Just Mercy,give_movie_name
Zootopia,give_movie_name
Bohemian Rhapsody,give_movie_name
Isle of Dogs,give_movie_name
Deadpool 2,give_movie_name
Dark Waters,give_movie_name
Searching,give_movie_name
Incredibles 2,give_movie_name
A Star Is Born,give_movie_name
Coco,give_movie_name
Logan,give_movie_name
Wonder,give_movie_name
Thor: Ragnarok,give_movie_name
Paddington 2,give_movie_name
another movie,choose_other_movie
other movie,choose_other_movie
other film,choose_other_movie
I want another film,choose_other_movie
other movies,choose_other_movie
other films,choose_other_movie
amazing another movie,choose_other_movie
another picture,choose_other_movie
atonher movie,choose_other_movie
another good movie,choose_other_movie
another picture,choose_other_movie
aonther movie,choose_other_movie
amazing other movie,choose_other_movie
other picture,choose_other_movie
other eovim,choose_other_movie
other perfect movie,choose_other_movie
other picture,choose_other_movie
other moive,choose_other_movie
other stupid film,choose_other_movie
other picture,choose_other_movie
ethor film,choose_other_movie
cool other film,choose_other_movie
other picture,choose_other_movie
otreh film,choose_other_movie
I want another stupid film,choose_other_movie
I want another picture,choose_other_movie
I want another fmli,choose_other_movie
stupid I want another film,choose_other_movie
I want another picture,choose_other_movie
I want another film,choose_other_movie
amazing other movies,choose_other_movie
other picture,choose_other_movie
other eovims,choose_other_movie
other amazing movies,choose_other_movie
other picture,choose_other_movie
other moives,choose_other_movie
other stupid films,choose_other_movie
other picture,choose_other_movie
other fslmi,choose_other_movie
good other films,choose_other_movie
other picture,choose_other_movie
other movies on this date,choose_other_movie
other lifms,choose_other_movie
other movies for date,choose_other_movie
movies for date,choose_other_movie
other movie for this date,choose_other_movie
other movies for this date,choose_other_movie
another date,choose_other_date
other date,choose_other_date
other date,choose_other_date
I want another date,choose_other_date
other dates,choose_other_date
other dates,choose_other_date
another amazing date,choose_other_date
another see,choose_other_date
anohter date,choose_other_date
great another date,choose_other_date
another see,choose_other_date
enothar date,choose_other_date
cool other date,choose_other_date
other see,choose_other_date
other tade,choose_other_date
other amazing date,choose_other_date
other see,choose_other_date
other daet,choose_other_date
perfect other times,choose_other_date
other clock,choose_other_date
other itmes,choose_other_date
cool other times,choose_other_date
other clock,choose_other_date
other simet,choose_other_date
I want another perfect date,choose_other_date
I want another see,choose_other_date
I nawt another date,choose_other_date
I want amazing another date,choose_other_date
I want another see,choose_other_date
I want another date,choose_other_date
stupid other dates,choose_other_date
other see,choose_other_date
orhet dates,choose_other_date
other stupid dates,choose_other_date
other see,choose_other_date
otreh dates,choose_other_date
other cool days,choose_other_date
other twenty-four_hour_period,choose_other_date
other yads,choose_other_date
other great days,choose_other_date
other twenty-four_hour_period,choose_other_date
other dates for movie,choose_other_date
dates for movie,choose_other_date
other dates for this movie,choose_other_date
rtheo days,choose_other_date
other date for this movie,choose_other_date
I want to view my booking,view_booking
can I see my booking,view_booking
i need to check my booking,view_booking
I want to view my reservation,view_booking
can I see my reservation,view_booking
I want to view my reservation,view_booking
I want to view my ticket,view_booking
can I see my ticket,view_booking
I want to view my ticket,view_booking
